ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
332,3.08,0.37,13161.64,5.41,1.05,5.86,й╙ву
333,1.84,0.83,15165.13,4.79,1.77,1.3,й╙ву
334,1.0,0.92,14969.75,1.33,3.72,5.31,й╙ву
335,3.03,1.04,16855.72,3.4,4.2,2.7,╣нк╝
336,1.72,1.43,18579.35,3.47,2.09,6.98,╣нк╝
337,1.19,0.59,13561.32,2.5,4.38,1.44,й╙ву
338,3.27,0.83,14670.06,2.09,2.9,5.39,й╙ву
339,2.68,0.13,12542.1,3.44,4.39,3.1,╣нк╝
340,3.35,0.73,18749.28,11.33,5.01,1.04,й╙ву
341,1.88,1.13,12401.09,3.17,5.02,2.28,╣нк╝
342,2.75,1.2,13889.67,2.46,3.43,3.79,й╙ву
343,2.31,0.95,15715.97,4.66,1.17,1.66,й╙ву
344,3.65,1.3,16924.72,1.57,2.23,5.13,й╙ву
345,0.74,1.3,15637.01,3.97,4.93,1.71,й╙ву
346,2.13,0.91,16636.88,6.59,12.96,9.59,й╙ву
347,1.82,1.41,16873.14,5.27,3.32,2.28,╣нк╝
348,2.8,0.33,18088.28,2.11,3.75,2.02,й╙ву
349,0.81,0.66,18974.34,3.28,5.48,7.24,й╙ву
350,0.63,1.23,16285.0,1.92,6.34,2.17,й╙ву
351,2.24,1.0,12992.78,2.65,2.72,6.27,й╙ву
352,1.61,1.02,14491.51,8.69,1.4,8.44,╣нк╝
353,2.57,1.4,18784.02,4.64,4.08,8.18,й╙ву
354,3.04,1.22,15953.96,1.39,9.53,9.24,й╙ву
355,1.79,0.6,18335.82,3.45,4.5,4.26,й╙ву
356,1.6,0.8,14963.06,1.45,5.68,2.59,й╙ву
357,0.68,1.41,13015.69,1.74,2.88,7.65,й╙ву
358,2.62,1.5,16779.85,2.16,0.39,6.85,й╙ву
359,2.61,1.15,16086.15,4.47,1.27,6.55,й╙ву
360,1.18,1.29,13984.68,2.14,0.57,7.18,й╙ву
361,1.94,1.51,18230.58,2.81,5.8,5.45,╣нк╝
362,2.45,0.86,13578.89,4.31,1.6,1.82,й╙ву
363,1.0,0.88,16304.38,1.82,4.69,4.16,╣нк╝
364,3.06,0.95,12241.88,5.06,3.81,3.52,╣нк╝
365,0.91,1.53,15460.25,1.21,1.67,1.82,╣нк╝
366,1.88,1.1,16989.23,4.74,1.78,7.34,й╙ву
367,2.46,1.45,12139.44,7.56,8.66,8.82,й╙ву
368,0.95,1.31,18870.62,5.5,2.58,7.93,й╙ву
369,1.55,1.19,17383.61,1.82,5.05,0.51,й╙ву
370,1.84,0.71,14429.99,4.27,1.12,4.44,й╙ву
371,1.17,1.15,16162.12,1.45,12.68,3.56,╣нк╝
372,1.79,0.62,15042.57,2.09,5.82,3.64,й╙ву
373,2.29,1.37,12452.48,2.54,3.03,4.74,й╙ву
374,2.25,0.87,14059.61,4.12,4.71,1.92,й╙ву
375,0.79,1.09,12711.47,3.87,2.69,2.74,й╙ву
376,3.4,0.52,17379.5,5.64,6.31,8.16,й╙ву
377,0.88,0.45,15461.34,7.61,8.0,5.32,й╙ву
378,1.69,0.47,18790.49,2.62,3.69,3.06,й╙ву
379,2.23,1.18,12016.56,4.71,2.9,7.5,й╙ву
380,1.72,1.34,16395.0,4.19,2.5,4.87,╣нк╝
381,2.35,1.74,15683.76,6.22,9.59,8.39,й╙ву
382,3.0,1.1,16448.76,0.37,4.95,4.33,╣нк╝
383,0.7,1.41,16589.12,13.09,1.2,1.97,й╙ву
384,2.34,1.49,16359.01,8.68,6.0,5.38,╣нк╝
385,3.14,1.2,18887.94,6.54,5.63,7.15,й╙ву
386,2.83,0.96,17358.63,3.21,2.39,4.87,й╙ву
387,0.93,1.17,15866.46,4.63,5.11,5.61,й╙ву
388,1.03,0.54,18903.84,3.03,2.96,7.72,╣нк╝
389,0.63,1.14,18820.58,4.46,2.1,0.99,й╙ву
390,0.52,0.48,13762.31,4.09,2.8,8.11,й╙ву
391,3.13,1.14,13996.59,7.53,2.98,7.32,й╙ву
392,2.56,0.99,18040.04,3.55,7.75,8.79,й╙ву
393,2.03,0.89,17245.28,1.18,8.77,5.41,й╙ву
394,2.98,1.61,14086.85,2.52,5.22,3.14,й╙ву
395,1.87,0.68,18141.54,2.96,2.6,6.94,й╙ву
396,0.92,1.48,12168.72,1.54,3.07,3.3,й╙ву
397,3.43,0.7,15695.83,1.47,3.36,6.76,й╙ву
398,2.13,0.69,13724.53,3.92,4.35,6.79,й╙ву
399,2.15,0.93,12026.52,5.76,3.57,3.19,╣нк╝
400,2.05,0.73,14355.85,5.12,5.36,6.69,й╙ву
401,0.62,1.61,13754.34,8.52,4.69,5.77,╣нк╝
402,1.87,1.26,17500.88,2.68,2.24,7.19,й╙ву
403,1.19,0.66,14105.21,6.47,8.1,7.38,╣нк╝
404,1.91,1.01,15833.58,3.74,1.53,2.88,й╙ву
405,1.41,0.85,13710.58,3.15,3.62,5.09,╣нк╝
406,3.24,0.79,17528.02,5.67,1.06,3.46,й╙ву
407,2.25,0.75,18644.89,3.7,1.43,1.73,й╙ву
408,1.15,0.64,15372.54,6.15,3.77,5.77,й╙ву
409,1.76,0.83,15184.49,6.94,4.15,7.14,й╙ву
410,2.71,1.02,17673.93,3.79,4.47,4.52,й╙ву
411,0.76,0.29,17024.64,2.07,4.25,6.12,╣нк╝
412,0.58,0.82,13751.52,6.3,10.74,9.49,й╙ву
413,2.56,1.18,14601.14,1.46,5.07,0.94,й╙ву
414,1.3,1.37,13373.03,2.68,1.66,4.35,й╙ву
415,1.5,1.41,16402.1,4.07,4.97,7.28,й╙ву
416,0.62,1.38,16632.73,7.47,4.79,1.54,╣нк╝
417,2.71,1.15,16871.32,0.69,5.44,0.83,й╙ву
418,1.95,1.44,16807.71,2.3,4.62,4.72,╣нк╝
419,3.0,1.16,13465.35,2.65,5.69,5.86,╣нк╝
420,3.2,0.24,16583.65,4.98,7.67,3.2,й╙ву
421,2.04,0.75,17536.62,3.97,3.26,3.82,й╙ву
422,0.72,0.83,17488.64,2.22,2.32,5.31,й╙ву
423,2.18,0.86,16134.22,7.74,4.36,5.22,й╙ву
424,0.65,0.66,18130.0,4.48,5.07,1.25,╣нк╝
425,0.65,0.88,14045.21,0.95,2.23,3.66,й╙ву
426,1.65,1.2,18887.21,6.39,9.25,4.23,й╙ву
427,2.8,0.67,13299.67,4.46,4.51,7.74,й╙ву
428,1.06,0.89,16171.92,1.39,9.44,5.2,й╙ву
429,2.5,0.37,14104.08,9.27,1.62,5.88,й╙ву
430,0.76,1.86,15592.91,3.75,3.41,7.31,╣нк╝
431,2.23,0.55,15844.18,8.15,5.48,2.36,╣нк╝
