ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
332,1,1,1,2,1,1,1,72.6,80.62,87.49,66.93,83.43,81.95,84.37,0.71,0.21,0.06,0.0,78.57,1
333,1,1,1,1,1,1,1,79.24,78.53,87.49,76.65,83.09,85.38,84.37,0.8,0.14,0.04,0.0,81.55,1
334,1,1,1,1,1,1,1,80.8,80.51,87.49,82.98,80.04,82.94,84.37,0.84,0.11,0.03,0.0,82.62,1
335,1,1,1,1,1,1,1,75.46,78.68,87.49,80.05,80.53,84.7,84.37,0.78,0.16,0.05,0.0,80.95,1
336,1,1,1,1,1,1,2,79.65,75.93,87.49,78.27,83.21,76.49,62.5,0.38,0.5,0.1,0.0,69.52,2
337,1,1,1,1,1,1,1,81.06,79.91,87.49,81.19,80.7,85.36,84.37,0.84,0.12,0.03,0.0,82.57,1
338,1,1,1,1,1,1,1,70.16,80.77,87.49,82.22,80.77,81.97,84.37,0.75,0.17,0.06,0.0,79.82,1
339,1,1,1,1,1,1,2,77.86,80.95,87.49,80.32,80.17,84.36,62.5,0.4,0.49,0.1,0.0,70.01,2
340,1,1,1,3,1,1,1,69.08,80.62,87.49,41.53,77.73,85.39,84.37,0.46,0.17,0.36,0.0,64.99,2
341,1,1,1,1,1,1,1,79.36,78.48,87.49,80.66,80.25,85.0,84.37,0.81,0.14,0.04,0.0,81.79,1
342,1,1,1,1,1,1,1,76.88,77.69,87.49,81.36,80.52,84.04,84.37,0.79,0.15,0.04,0.0,81.1,1
343,1,1,1,1,1,1,1,78.32,80.98,87.49,73.74,83.43,85.25,84.37,0.8,0.14,0.04,0.0,81.54,1
344,1,1,1,1,1,1,1,70.16,79.07,87.49,82.76,82.76,82.69,84.37,0.75,0.18,0.06,0.0,79.67,1
345,1,1,1,1,1,1,1,81.39,77.38,87.49,78.84,77.25,85.09,84.37,0.79,0.15,0.04,0.0,81.39,1
346,1,1,1,2,3,2,1,78.26,79.87,87.49,60.39,42.83,60.05,84.37,0.4,0.29,0.29,0.0,65.34,2
347,1,1,1,2,1,1,2,79.72,78.33,87.49,66.08,80.16,84.85,62.5,0.36,0.52,0.1,0.0,69.02,2
348,1,1,1,1,1,1,1,76.32,81.12,87.49,80.59,80.8,85.14,84.37,0.81,0.13,0.04,0.0,81.81,1
349,1,1,1,1,1,1,1,81.36,80.88,87.49,79.69,79.26,77.96,84.37,0.82,0.13,0.04,0.0,81.98,1
350,1,1,1,1,1,1,1,81.9,79.87,87.49,82.25,72.65,84.85,84.37,0.81,0.14,0.04,0.0,81.84,1
351,1,1,1,1,1,1,1,77.8,76.78,87.49,81.45,82.31,80.47,84.37,0.78,0.16,0.05,0.0,80.92,1
352,1,1,1,2,1,2,1,80.48,77.52,87.49,53.1,83.17,67.01,84.37,0.56,0.29,0.14,0.0,72.78,2
353,1,1,1,1,1,1,1,77.8,72.01,87.49,71.45,80.49,71.47,84.37,0.66,0.26,0.07,0.0,77.28,1
354,1,1,1,1,2,2,1,75.07,76.24,87.49,82.94,57.01,62.66,84.37,0.55,0.33,0.1,0.0,73.64,2
355,1,1,1,1,1,1,1,79.81,80.73,87.49,78.95,80.68,83.15,84.37,0.83,0.12,0.04,0.0,82.18,1
356,1,1,1,1,1,1,1,78.96,80.73,87.49,82.7,73.33,84.61,84.37,0.81,0.14,0.04,0.0,81.66,1
357,1,1,1,1,1,1,1,81.74,78.12,87.49,82.03,82.07,74.31,84.37,0.8,0.14,0.04,0.0,81.32,1
358,1,1,1,1,1,1,1,76.28,77.85,87.49,80.87,83.56,78.75,84.37,0.78,0.16,0.05,0.0,80.77,1
359,1,1,1,1,1,1,1,77.06,72.01,87.49,77.98,83.32,80.56,84.37,0.71,0.21,0.06,0.0,78.94,1
360,1,1,1,1,1,1,1,80.36,77.96,87.49,82.27,83.59,77.72,84.37,0.81,0.14,0.04,0.0,81.6,1
361,1,1,1,1,1,1,1,78.55,77.91,87.49,81.65,77.67,82.48,84.37,0.79,0.15,0.04,0.0,81.2,1
362,1,1,1,1,1,1,1,76.77,78.58,87.49,78.57,82.75,85.25,84.37,0.79,0.15,0.04,0.0,81.26,1
363,1,1,1,1,1,1,2,81.18,79.95,87.49,82.93,79.26,83.84,62.5,0.4,0.49,0.09,0.0,70.15,2
364,1,1,1,1,1,1,2,73.54,79.39,87.49,77.28,80.3,84.43,62.5,0.38,0.5,0.1,0.0,69.46,2
365,1,1,1,1,1,1,2,81.38,77.85,87.49,83.0,83.48,85.24,62.5,0.4,0.5,0.09,0.0,70.09,2
366,1,1,1,1,1,1,1,79.36,79.65,87.49,75.19,83.1,76.42,84.37,0.79,0.15,0.05,0.0,80.94,1
367,1,1,1,2,2,2,1,77.54,77.69,87.49,57.76,58.67,62.31,84.37,0.46,0.41,0.12,0.0,71.13,2
368,1,1,1,2,1,1,1,80.56,78.83,87.49,61.49,81.99,69.43,84.37,0.64,0.27,0.07,0.0,76.81,1
369,1,1,1,1,1,1,1,79.41,74.09,87.49,80.84,80.3,85.59,84.37,0.76,0.18,0.04,0.0,80.47,1
370,1,1,1,1,1,1,1,79.81,79.78,87.49,78.03,83.48,83.5,84.37,0.82,0.13,0.04,0.0,82.06,1
371,1,1,1,1,3,1,2,80.84,78.17,87.49,81.65,43.85,84.2,62.5,0.3,0.45,0.24,0.0,63.85,2
372,1,1,1,1,1,1,1,80.11,80.04,87.49,81.83,78.4,84.09,84.37,0.83,0.12,0.04,0.0,82.22,1
373,1,1,1,1,1,1,1,78.14,77.52,87.49,81.07,81.2,83.21,84.37,0.79,0.15,0.04,0.0,81.29,1
374,1,1,1,1,1,1,1,77.47,79.16,87.49,78.36,77.98,85.14,84.37,0.79,0.15,0.04,0.0,81.18,1
375,1,1,1,1,1,1,1,81.55,77.8,87.49,79.19,81.83,84.43,84.37,0.81,0.14,0.04,0.0,81.91,1
376,1,1,1,2,1,2,1,69.44,80.08,87.49,64.84,71.78,66.31,84.37,0.58,0.31,0.09,0.0,74.73,2
377,1,1,1,2,2,1,1,81.23,80.98,87.49,57.42,62.59,82.05,84.37,0.57,0.32,0.09,0.0,74.58,2
378,1,1,1,1,1,1,1,80.28,80.66,87.49,81.61,81.01,84.52,84.37,0.84,0.11,0.03,0.0,82.63,1
379,1,1,1,1,1,1,1,77.73,78.17,87.49,75.29,81.63,76.11,84.37,0.76,0.17,0.05,0.0,80.2,1
380,1,1,1,1,1,1,2,79.24,77.38,87.49,72.91,82.5,83.07,62.5,0.38,0.51,0.1,0.0,69.54,2
381,1,1,1,2,2,2,1,76.92,72.85,87.49,60.84,55.76,67.75,84.37,0.47,0.39,0.12,0.0,71.27,2
382,1,1,1,1,1,1,1,73.08,79.02,87.49,82.94,78.81,83.4,84.37,0.77,0.17,0.05,0.0,80.41,1
383,1,1,1,3,1,1,1,81.15,78.07,87.49,40.47,83.28,85.06,84.37,0.48,0.12,0.37,0.0,64.85,2
384,1,1,1,2,2,1,2,78.58,78.92,87.49,52.82,70.92,82.21,62.5,0.3,0.53,0.16,0.0,66.09,2
