ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
632,1.67,0.35,15072.1,4.41,1.83,7.62,湿渍
633,0.61,1.27,12364.88,2.78,3.5,6.31,湿渍
634,2.73,0.76,13082.19,3.58,5.08,6.13,湿渍
635,1.82,0.94,16826.12,6.6,8.24,7.69,湿渍
636,1.03,0.83,18950.61,7.74,8.32,0.67,湿渍
637,0.36,1.17,17281.83,6.56,6.83,4.52,滴水
638,3.18,1.23,13419.2,2.3,3.81,5.2,湿渍
639,3.16,1.23,17215.76,3.72,2.55,3.56,湿渍
640,0.7,0.27,15975.34,1.57,4.31,0.69,湿渍
641,2.81,0.86,15202.05,3.71,0.9,4.18,滴水
642,0.38,0.88,12918.27,4.35,4.11,4.34,湿渍
643,2.53,1.06,15724.25,2.39,1.38,1.64,湿渍
644,0.74,0.78,12732.34,5.56,9.81,6.99,湿渍
645,1.3,0.76,14663.28,8.78,12.21,11.53,湿渍
646,1.33,1.05,12831.42,1.04,2.92,4.82,滴水
647,1.38,0.82,13203.26,7.92,10.25,8.43,湿渍
648,1.83,1.18,16878.54,1.57,3.57,5.86,湿渍
649,1.24,1.26,18502.96,1.59,4.73,3.19,滴水
650,2.46,1.14,13617.36,1.65,1.31,4.8,湿渍
651,0.61,0.46,14665.05,3.48,6.99,1.45,湿渍
652,3.14,0.6,13930.09,1.09,4.83,1.07,滴水
653,1.08,0.96,15783.24,4.64,2.17,4.26,滴水
654,2.85,0.92,14471.63,1.73,3.51,3.95,湿渍
655,2.95,1.18,17497.86,7.16,3.73,4.89,湿渍
656,3.09,0.42,14717.0,2.49,7.08,1.08,湿渍
657,0.65,0.59,18979.81,2.64,3.39,7.94,湿渍
658,2.22,1.34,17968.64,2.93,4.88,2.57,滴水
659,0.98,1.0,18940.98,2.83,1.75,1.82,湿渍
660,1.32,0.6,14685.37,4.95,5.61,6.53,滴水
661,0.8,1.47,13094.55,7.42,5.76,3.72,湿渍
662,1.41,0.68,14713.82,7.51,10.21,1.43,湿渍
663,3.07,1.05,15783.57,4.33,2.83,5.57,湿渍
664,2.91,0.6,14336.32,2.45,4.27,2.13,滴水
665,1.16,0.75,14917.28,3.41,2.5,0.51,湿渍
666,2.37,0.91,16323.02,4.8,5.31,1.16,湿渍
667,1.17,1.02,15878.12,6.77,6.03,0.7,湿渍
668,1.61,0.65,15478.17,3.03,6.49,8.67,湿渍
669,1.1,0.44,15142.53,1.62,5.18,3.23,滴水
670,3.28,1.09,13029.13,3.87,3.43,5.35,湿渍
671,0.57,0.76,17187.23,4.46,5.87,3.89,湿渍
672,0.89,0.35,16004.0,3.31,2.75,4.48,湿渍
673,1.43,0.45,18244.44,1.23,4.99,4.87,湿渍
