ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
632,1,1,1,2,1,1,1,78.6,79.87,87.49,66.26,82.0,69.03,84.37,0.69,0.23,0.07,0.0,78.04,1
633,1,2,1,1,1,1,1,80.96,63.44,87.49,78.97,79.65,79.37,84.37,0.57,0.34,0.07,0.0,75.06,1
634,1,1,1,1,2,1,1,72.6,77.91,87.49,75.59,70.82,79.91,84.37,0.7,0.22,0.06,0.0,78.35,1
635,1,1,1,2,2,1,1,78.17,74.09,87.49,57.76,58.35,68.33,84.37,0.48,0.39,0.12,0.0,71.52,2
636,1,1,1,2,2,1,1,80.15,77.38,87.49,52.48,58.13,85.43,84.37,0.5,0.33,0.16,0.0,70.94,2
637,1,2,1,2,2,1,2,81.38,65.59,87.49,57.89,61.42,82.79,62.5,0.23,0.63,0.12,0.0,65.16,2
638,2,2,1,1,1,1,1,64.97,64.19,87.49,79.94,79.09,81.82,84.37,0.5,0.39,0.1,0.0,72.56,2
639,2,2,1,1,1,1,1,65.26,64.19,87.49,74.09,81.12,83.79,84.37,0.49,0.4,0.1,0.0,72.44,2
640,1,1,1,1,1,1,1,80.8,80.2,87.49,81.16,77.5,85.43,84.37,0.83,0.12,0.03,0.0,82.31,1
641,1,1,1,1,1,1,2,71.24,76.78,87.49,74.21,82.92,83.19,62.5,0.36,0.52,0.11,0.0,68.9,2
642,1,1,1,2,1,1,1,81.35,76.24,87.49,66.83,78.43,83.01,84.37,0.71,0.22,0.05,0.0,79.03,1
643,1,2,1,1,1,1,1,75.27,69.15,87.49,79.77,82.47,85.03,84.37,0.67,0.25,0.06,0.0,77.74,1
644,1,1,1,2,2,1,1,80.73,77.8,87.49,60.5,51.96,75.2,84.37,0.51,0.33,0.15,0.0,71.54,2
645,1,1,1,3,3,3,1,79.55,77.91,87.49,46.66,42.59,42.87,84.37,0.3,0.17,0.51,0.0,57.09,2
646,1,2,1,1,1,1,2,79.48,69.54,87.49,81.89,80.59,82.4,62.5,0.35,0.53,0.1,0.0,68.76,2
647,1,1,1,2,3,2,1,79.36,77.52,87.49,51.45,49.69,62.81,84.37,0.4,0.34,0.24,0.0,66.48,2
648,1,2,1,1,1,1,1,78.14,65.33,87.49,81.16,79.53,80.56,84.37,0.61,0.31,0.07,0.0,76.04,1
649,1,2,1,1,1,1,2,79.69,63.62,87.49,81.13,74.18,84.09,62.5,0.29,0.58,0.11,0.0,67.16,2
650,1,2,1,1,1,1,1,75.85,66.43,87.49,81.04,82.54,82.43,84.37,0.63,0.29,0.07,0.0,76.5,1
651,1,1,1,1,2,1,1,80.96,79.39,87.49,76.49,61.07,85.12,84.37,0.69,0.24,0.05,0.0,78.45,1
652,2,1,1,1,1,1,2,65.56,78.73,87.49,81.82,73.23,85.28,62.5,0.34,0.53,0.11,0.0,68.12,2
