ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
1,1,3,3,3,3,1,1,0.4136656165447188,0.12049586454590688,0.47330308839562013,0.06998571720057134,45.394608407056744,2
2,2,3,3,2,3,1,1,0.28145346699257323,0.31849671549859165,0.4598136670688965,0.0044833121160126055,44.59243917056149,2
3,2,1,3,1,3,1,1,0.557537292595127,0.22550676570428174,0.29503809104835604,0.0,33.8656005618719,2
4,2,2,3,3,2,1,1,0.299985802817185,0.3734090797566753,0.3697396350034411,0.0,40.86139021380521,2
5,1,3,3,3,2,1,1,0.4141853463744454,0.20546455375501047,0.486176339094314,0.0,43.26825878888809,2
6,2,3,3,3,3,1,2,0.16987774727759886,0.31637288930825974,0.5268078346826166,0.06969372035418123,53.01114538868413,3
7,2,3,3,3,3,1,1,0.277171308988055,0.2755108271155064,0.5056643438688743,0.0,45.400318870986816,2
8,3,3,3,2,3,1,2,0.23305669990238403,0.2953019471410972,0.5284646788521461,0.0,47.016074194830075,2
9,3,3,3,1,2,1,1,0.4152413416686303,0.26996938583592966,0.41834557433053793,0.0,41.46096713536386,2
10,3,2,3,1,3,1,1,0.4770581758148792,0.18323863199971943,0.3636056264232061,0.0,35.56002754912585,2
11,2,1,3,1,3,1,2,0.4538678761404149,0.3601210224960625,0.35557561427111983,0.0,41.40136268730252,2
12,2,2,3,2,1,1,1,0.4307176669553764,0.4413039948627525,0.2725426231823963,0.0,38.96678459319519,2
13,2,1,3,1,3,1,1,0.5528204750370804,0.21976334241151466,0.3626807504052509,0.0,37.81892817872348,2
14,3,3,3,2,3,1,1,0.27386591490522444,0.15634919744916154,0.4861390126878169,0.09568851727296747,48.04285239503207,2
15,1,2,3,2,2,1,1,0.47666425494849773,0.3515109964611847,0.29218056893307914,0.0,37.401251112468096,2
16,2,2,3,2,3,1,1,0.29134797431852544,0.45363097520563456,0.34613170544877814,0.0,42.2862428397415,2
17,2,3,3,2,3,1,1,0.28096679614787523,0.3691246529689824,0.45039785246982394,0.0,45.50412521754927,2
18,3,3,3,2,3,1,1,0.28843158187115625,0.2334448363397591,0.5477895564746291,0.0,46.59642341579474,2
19,2,1,3,3,3,1,2,0.309992692042325,0.343723468701513,0.45366192954497353,0.0,45.11840932339665,2
20,2,2,3,1,3,1,1,0.4168206763187673,0.3061748835954455,0.3821999992831875,0.0,40.57931654401301,2
21,2,2,3,1,2,1,1,0.43465984690874226,0.29885062289326375,0.32954262874345863,0.0,37.23656074132283,2
22,3,2,3,1,1,1,1,0.557364475838555,0.22899111847927303,0.2902988210967758,0.062347030787066826,39.15326440337151,2
23,1,2,3,3,3,1,1,0.46945422135998727,0.18953891439880538,0.41719843363557524,0.0,39.05078915917849,2
24,1,2,3,2,3,1,1,0.4526668179701788,0.31289840142011266,0.33689944542042854,0.0,38.44824061665824,2
25,3,3,3,1,2,1,1,0.3745387088304339,0.3222866119434222,0.4231102275345949,0.0,43.211871029170936,2
26,3,3,3,2,3,1,1,0.2776911158716248,0.20601639130163493,0.5464231501335076,0.0044833121160126055,45.740490315701955,2
27,3,2,3,1,3,1,1,0.42682022780479223,0.1920031137172821,0.4588314463930216,0.0,41.21233501152183,2
28,3,2,3,1,3,1,1,0.41474403031050455,0.21281005514077006,0.41482466110852695,0.0009084714967067844,39.17071002190496,2
29,1,3,3,3,3,1,1,0.41278857018766657,0.11620755556129864,0.5473203099310086,0.0035658569199910604,44.037172312081786,2
30,2,1,3,2,3,1,1,0.42213910868689597,0.3312729893583768,0.35334835089484196,0.009995531511520474,40.658356897710995,2
31,3,2,3,1,3,1,2,0.3076959818261185,0.3112651616360137,0.4007519838566385,0.01449192017942377,41.83368534091648,2
32,2,3,3,2,3,1,1,0.2911095180624959,0.3033428439863819,0.43599977085919456,0.03410475030450674,45.24837695561452,2
33,1,2,3,2,3,1,1,0.45523739346710446,0.2885274999961397,0.34029815212996495,0.0,37.77888317631685,2
34,3,3,3,1,3,1,1,0.4119680352262265,0.09585188876025633,0.561235700145865,0.0,43.821277527954,2
35,3,2,3,2,3,1,1,0.2896714329540129,0.36637599664019144,0.42974289313351965,0.0,44.218923606777324,2
36,3,1,3,2,3,1,1,0.4215834105973979,0.2593454494969816,0.4216287811389868,0.0,41.347045809790956,2
37,2,1,3,2,3,1,1,0.4280173869672746,0.3144925891361794,0.3784501755887852,0.0,40.796825403996735,2
38,1,2,3,3,3,1,1,0.419293003595712,0.2429474753341591,0.42165680696014896,0.0,40.70524330498668,2
39,2,2,3,2,3,1,2,0.17276618911240393,0.4858337877881068,0.44237821010310574,0.0,48.026982537403164,2
40,1,2,3,3,1,1,1,0.559815767914833,0.26453319746344467,0.367363636448605,0.0,39.8779192818524,2
41,1,3,3,2,3,1,1,0.41859707270236035,0.26420639708120147,0.4107320349787306,0.0,40.81095548549523,2
42,3,2,3,2,2,1,1,0.3393818752185963,0.37895747313034706,0.34542387360436444,0.0,40.042170782893244,2
43,1,1,3,1,3,1,2,0.5895318371382586,0.24308419991778557,0.35268401916514136,0.0,38.52755665896653,2
44,3,3,3,2,3,1,1,0.2740336441173897,0.17422501538718205,0.5573949102715918,0.02675088240757939,47.13674273112438,2
45,2,2,3,3,3,1,2,0.19230720089493522,0.36367967508665533,0.4657247216226411,0.0018418326234603303,45.31078328290411,2
46,1,3,3,2,3,1,2,0.3088378695492164,0.29259415008094164,0.4806643360143636,0.0,44.87427499829824,2
